Course Number,Course Name,Number of Units,Description,Prerequisites
MATH 199,Independent Study for Undergraduates ,2 or 4,Independent reading in advanced mathematics by individual students. Three periods. (P/NP grades only.) , permission of department.
MATH 199H,Honors Thesis Research for Undergraduates ,2 to 4,Honors thesis research for seniors participating in the Honors Program. Research is conducted under the supervision of a mathematics faculty member. ," admission to the Honors Program in mathematics, department stamp."
MATH 200A-B-C,Algebra ,4 each,"Group actions, factor groups, polynomial rings, linear algebra, rational and Jordan canonical forms, unitary and Hermitian matrices, Sylow theorems, finitely generated abelian groups, unique factorization, Galois theory, solvability by radicals, Hilbert Basis Theorem, Hilbert Nullstellensatz, Jacobson radical, semisimple Artinian rings. ", consent of instructor.
MATH 201A,Basic Topics in Algebra I ,4,"Recommended for all students specializing in algebra. Basic topics include categorical algebra, commutative algebra, group representations, homological algebra, nonassociative algebra, ring theory. May be taken for credit six times with consent of adviser as topics vary. ", Math 200C. Students who have not taken Math 200C may enroll with consent of instructor.
MATH 202A,Applied Algebra I ,4,"Introduction to algebra from a computational perspective. Groups, rings, linear algebra, rational and Jordan forms, unitary and Hermitian matrices, matrix decompositions, perturbation of eigenvalues, group representations, symmetric functions, fast Fourier transform, commutative algebra, Grobner basis, finite fields. ", graduate standing or consent of instructor.
MATH 202B,Applied Algebra II ,4,"Second course in algebra from a computational perspective. Groups, rings, linear algebra, rational and Jordan forms, unitary and Hermitian matrices, matrix decompositions, perturbation of eigenvalues, group representations, symmetric functions, fast Fourier transform, commutative algebra, Grobner basis, finite fields. ", Math 202A or consent of instructor.
MATH 202C,Applied Algebra III ,4,"Third course in algebra from a computational perspective. Groups, rings, linear algebra, rational and Jordan forms, unitary and Hermitian matrices, matrix decompositions, perturbation of eigenvalues, group representations, symmetric functions, fast Fourier transform, commutative algebra, Grobner basis, finite fields. ", Math 202B or consent of instructor.
MATH 203A-B-C,Algebraic Geometry ,4 each,"Places, Hilbert Nullstellensatz, varieties, product of varieties: correspondences, normal varieties. Divisors and linear systems; Riemann-Roch theorem; resolution of singularities of curves. Grothendieck schemes; cohomology, Hilbert schemes; Picard schemes. ", Math 200A-B-C.
MATH 204A,Number Theory I ,4,First course in graduate-level number theory. Local fields: valuations and metrics on fields; discrete valuation rings and Dedekind domains; completions; ramification theory; main statements of local class field theory. , Math 200C. Students who have not taken Math 200C may enroll with consent of instructor.
MATH 204B,Number Theory II ,4,Second course in graduate-level number theory. Global fields: arithmetic properties and relation to local fields; ideal class groups; groups of units; ramification theory; adles and idles; main statements of global class field theory. , Math 204A. Students who have not taken Math 204A may enroll with consent of instructor.
MATH 204C,Number Theory III ,4,Third course in graduate-level number theory. Zeta and L-functions; Dedekind zeta functions; Artin L-functions; the class-number formula and generalizations; density theorems. , Math 204B. Students who have not taken Math 204B may enroll with consent of instructor.
MATH 205,Topics in Number Theory ,4,"Topics in algebraic and analytic number theory, such as: L-functions, sieve methods, modular forms, class field theory, p-adic L-functions and Iwasawa theory, elliptic curves and higher dimensional abelian varieties, Galois representations and the Langlands program, p-adic cohomology theories, Berkovich spaces, etc. May be taken for credit nine times. ", graduate standing.
MATH 206A,Topics in Algebraic Geometry ,4,"Introduction to varied topics in algebraic geometry. Topics will be drawn from current research and may include Hodge theory, higher dimensional geometry, moduli of vector bundles, abelian varieties, deformation theory, intersection theory. Nongraduate students may enroll with consent of instructor. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing.
MATH 206B,Further Topics in Algebraic Geometry ,4,"Continued development of a topic in algebraic geometry. Topics will be drawn from current research and may include Hodge theory, higher dimensional geometry, moduli of vector bundles, abelian varieties, deformation theory, intersection theory. May be taken for credit three times with consent of adviser as topics vary. ", Math 206A. Students who have not completed Math 206A may enroll with consent of instructor.
MATH 207A,Topics in Algebra ,4,"Introduction to varied topics in algebra. In recent years, topics have included number theory, commutative algebra, noncommutative rings, homological algebra, and Lie groups. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 209,Seminar in Number Theory ,1,Various topics in number theory. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 210A,Mathematical Methods in Physics and Engineering ,4,"Complex variables with applications. Analytic functions, Cauchys theorem, Taylor and Laurent series, residue theorem and contour integration techniques, analytic continuation, argument principle, conformal mapping, potential theory, asymptotic expansions, method of steepest descent. "," Math 20DEF,140A/142A or consent of instructor."
MATH 210B,Mathematical Methods in Physics and Engineering ,4,"Linear algebra and functional analysis. Vector spaces, orthonormal bases, linear operators and matrices, eigenvalues and diagonalization, least squares approximation, infinite-dimensional spaces, completeness, integral equations, spectral theory, Greens functions, distributions, Fourier transform. ", Math 210A or consent of instructor.
MATH 210C,Mathematical Methods in Physics and Engineering ,4,"Calculus of variations: Euler-Lagrange equations, Noethers theorem. Fourier analysis of functions and distributions in several variables. Partial differential equations: Laplace, wave, and heat equations; fundamental solutions (Greens functions); well-posed problems.  (S)", Math 210B or consent of instructor. (S)
MATH 217,Topics in Applied Mathematics ,4,"In recent years, topics have included applied complex analysis, special functions, and asymptotic methods. May be repeated for credit with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 220A-B-C,Complex Analysis ,4 each,"Complex numbers and functions. Cauchy theorem and its applications, calculus of residues, expansions of analytic functions, analytic continuation, conformal mapping and Riemann mapping theorem, harmonic functions. Dirichlet principle, Riemann surfaces. ", Math 140A-B or consent of instructor.
MATH 221A,Topics in Several Complex Variables ,4,"Introduction to varied topics in several complex variables. In recent years, topics have included formal and convergent power series, Weierstrass preparation theorem, Cartan-Ruckert theorem, analytic sets, mapping theorems, domains of holomorphy, proper holomorphic mappings, complex manifolds and modifications. May be taken for credit six times with consent of adviser as topics vary. ", Math 200A and 220C. Students who have not completed Math 200A and 220C may enroll with consent of instructor.
MATH 221B,Further Topics in Several Complex Variables ,4,"Continued development of a topic in several complex variables. Topics include: formal and convergent power series, Weierstrass preparation theorem, Cartan-Ruckert theorem, analytic sets, mapping theorems, domains of holomorphy, proper holomorphic mappings, complex manifolds and modifications. May be taken for credit three times with consent of adviser as topics vary. ", Math 221A. Students who have not completed Math 221A may enroll with consent of instructor.
MATH 231A-B-C,Partial Differential Equations ,4 each,"Existence and uniqueness theorems. Cauchy-Kowalewski theorem, first order systems. Hamilton-Jacobi theory, initial value problems for hyperbolic and parabolic systems, boundary value problems for elliptic systems. Greens function, eigenvalue problems, perturbation theory. ", Math 210A-B or 240A-B-C or consent of instructor.
MATH 237A,Topics in Differential Equations ,4,"Introduction to varied topics in differential equations. In recent years, topics have included Riemannian geometry, Ricci flow, and geometric evolution. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 237B,Further Topics in Differential Equations ,4,"Continued development of a topic in differential equations. Topics include: Riemannian geometry, Ricci flow, and geometric evolution. May be taken for credit three times with consent of adviser as topics vary. ", Math 237A. Students who have not completed Math 237A may enroll with consent of instructor.
MATH 240A-B-C,Real Analysis ,4 each,"Lebesgue integral and Lebesgue measure, Fubini theorems, functions of bounded variations, Stieltjes integral, derivatives and indefinite integrals, the spaces L and C, equi-continuous families, continuous linear functionals general measures and integrations. ", Math 140A-B-C.
MATH 241A-B,Functional Analysis ,4 both,"Metric spaces and contraction mapping theorem; closed graph theorem; uniform boundedness principle; Hahn-Banach theorem; representation of continuous linear functionals; conjugate space, weak topologies; extreme points; Krein-Milman theorem; fixed-point theorems; Riesz convexity theorem; Banach algebras. ", Math 240A-B-C or consent of instructor.
MATH 242,Topics in Fourier Analysis ,4,"In recent years, topics have included Fourier analysis in Euclidean spaces, groups, and symmetric spaces. May be repeated for credit with consent of adviser as topics vary. "," Math 240C, students who have not completed Math 240C may enroll with consent of instructor."
MATH 243,Seminar in Operator Algebras ,1,Various topics in operator algebras. May be taken for credit nine times. ), graduate standing or consent of instructor. (S/U grades only.)
MATH 245A,Convex Analysis and Optimization I ,4,"Convex sets and functions, convex and affine hulls, relative interior, closure, and continuity, recession and existence of optimal solutions, saddle point and min-max theory, subgradients and subdifferentials. Recommended preparation: course work in linear algebra and real analysis. ", graduate standing.
MATH 245B,Convex Analysis and Optimization II ,4,"Optimality conditions, strong duality and the primal function, conjugate functions, Fenchel duality theorems, dual derivatives and subgradients, subgradient methods, cutting plane methods. ", Math 245A or consent of instructor.
MATH 245C,Convex Analysis and Optimization III ,4,"Convex optimization problems, linear matrix inequalities, second-order cone programming, semidefinite programming, sum of squares of polynomials, positive polynomials, distance geometry. ", Math 245B or consent of instructor.
MATH 247A,Topics in Real Analysis ,4,"Introduction to varied topics in real analysis. In recent years, topics have included Fourier analysis, distribution theory, martingale theory, operator theory. May be taken for credit six times with consent of adviser. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 247B,Further Topics in Real Analysis ,4,"Continued development of a topic in real analysis. Topics include: Fourier analysis, distribution theory, martingale theory, operator theory. May be taken for credit three times with consent of adviser as topics vary. ", Math 247A. Students who have not completed Math 247A may enroll with consent of instructor.
MATH 248,Seminar in Real Analysis ,1,Various topics in real analysis. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 250A-B-C,Differential Geometry ,4 each,"Differential manifolds, Sard theorem, tensor bundles, Lie derivatives, DeRham theorem, connections, geodesics, Riemannian metrics, curvature tensor and sectional curvature, completeness, characteristic classes. Differential manifolds immersed in Euclidean space. ", consent of instructor.
MATH 251A-B-C,Lie Groups ,4 each,"Lie groups, Lie algebras, exponential map, subgroup subalgebra correspondence, adjoint group, universal enveloping algebra. Structure theory of semi-simple Lie groups, global decompositions, Weyl group. Geometry and analysis on symmetric spaces. ", Math 200 and 250 or consent of instructor.
MATH 256,Seminar in Lie Groups and Lie Algebras ,1,"Various topics in Lie groups and Lie algebras, including structure theory, representation theory, and applications. )", graduate standing or consent of instructor. (S/U grade only.)
MATH 257A,Topics in Differential Geometry ,4,"Introduction to varied topics in differential geometry. In recent years, topics have included Morse theory and general relativity. May be taken for credit six times with consent of adviser. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 257B,Further Topics in Differential Geometry ,4,Continued development of a topic in differential geometry. Topics include Morse theory and general relativity. May be taken for credit three times with consent of adviser. , Math 257A. Students who have not completed Math 257A may enroll with consent of instructor.
MATH 258,Seminar in Differential Geometry ,1,Various topics in differential geometry. May be taken for credit nine times. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 259A-B-C,Geometrical Physics ,4 each,,
MATH 260A,Mathematical Logic I ,4,"Manifolds, differential forms, homology, deRhams theorem. Riemannian geometry, harmonic forms. Lie groups and algebras, connections in bundles, homotopy sequence of a bundle, Chern classes. Applications selected from Hamiltonian and continuum mechanics, electromagnetism, thermodynamics, special and general relativity, Yang-Mills fields. "," graduate standing in mathematics, physics, or engineering, or consent of instructor."
MATH 260B,Mathematical Logic II ,4,"Propositional calculus and first-order logic. Theorem proving, Model theory, soundness, completeness, and compactness, Herbrands theorem, Skolem-Lowenheim theorems, Craig interpolation. ", graduate standing or consent of instructor.
MATH 261A,Probabilistic Combinatorics and Algorithms ,4,"Theory of computation and recursive function theory, Churchs thesis, computability and undecidability. Feasible computability and complexity. Peano arithmetic and the incompleteness theorems, nonstandard models. ", Math 260A or consent of instructor.
MATH 261B,Probabilistic Combinatorics and Algorithms II ,4,"Introduction to the probabilistic method. Combinatorial applications of the linearity of expectation, second moment method, Markov, Chebyschev, and Azuma inequalities, and the local limit lemma. Introduction to the theory of random graphs. ", graduate standing or consent of instructor.
MATH 261C,Probabilistic Combinatorics and Algorithms III ,4,"Introduction to probabilistic algorithms. Game theoretic techniques. Applications of the probabilistic method to algorithm analysis. Markov Chains and Random walks. Applications to approximation algorithms, distributed algorithms, online and parallel algorithms. Math 261A must be taken before Math 261B. ", Math 261A.
MATH 262A,Topics in Combinatorial Mathematics ,4,Advanced topics in the probabilistic combinatorics and probabilistics algorithms. Random graphs. Spectral Methods. Network algorithms and optimization. Statistical learning. Math 261B must be taken before Math 261C. , Math 261B.
MATH 262B,Further Topics in Combinatorial Mathematics ,4,"Introduction to varied topics in combinatorial mathematics. In recent years topics have included problems of enumeration, existence, construction, and optimization with regard to finite sets. Recommended preparation: some familiarity with computer programming desirable but not required. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 264A-B-C,Combinatorics ,4 each,"Continued development of a topic in combinatorial mathematics. Topics include: problems of enumeration, existence, construction, and optimization with regard to finite sets. Recommended preparation: some familiarity with computer programming desirable but not required. May be taken for credit three times with consent of adviser as topics vary. ", Math 262A. Students who have not completed Math 262A may enroll with consent of instructor.
MATH 267A,Topics in Mathematical Logic ,4,"Topics from partially ordered sets, Mobius functions, simplicial complexes and shell ability. Enumeration, formal power series and formal languages, generating functions, partitions. Lagrange inversion, exponential structures, combinatorial species. Finite operator methods, q-analogues, Polya theory, Ramsey theory. Representation theory of the symmetric group, symmetric functions and operations with Schur functions.","Topics from partially ordered sets, Mobius functions, simplicial complexes and shell ability. Enumeration, formal power series and formal languages, generating functions, partitions. Lagrange inversion, exponential structures, combinatorial species. Finite operator methods, q-analogues, Polya theory, Ramsey theory. Representation theory of the symmetric group, symmetric functions and operations with Schur functions."
MATH 267B,Further Topics in Mathematical Logic ,4,"Introduction to varied topics in mathematical logic. Topics chosen from recursion theory, model theory, and set theory. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing or consent of instructor. Nongraduate students may enroll with consent of instructor.
MATH 268,Seminar in Logic ,1,"Continued development of a topic in mathematical logic. Topics chosen from recursion theory, model theory, and set theory. May be taken for credit three times with consent of adviser as topics vary. ", Math 267A or consent of instructor. Students who have not completed Math 267A may enroll with consent of instructor.
MATH 269,Seminar in Combinatorics ,1,Various topics in logic. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 270A,Numerical Linear Algebra ,4,Various topics in combinatorics. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 270B,Numerical Approximation and Nonlinear Equations ,4,Error analysis of the numerical solution of linear equations and least squares problems for the full rank and rank deficient cases. Error analysis of numerical methods for eigenvalue problems and singular value problems. Iterative methods for large sparse systems of linear equations. , graduate standing or consent of instructor.
MATH 270C,Numerical Ordinary Differential Equations ,4,"Iterative methods for nonlinear systems of equations, Newtons method. Unconstrained and constrained optimization. The Weierstrass theorem, best uniform approximation, least-squares approximation, orthogonal polynomials. Polynomial interpolation, piecewise polynomial interpolation, piecewise uniform approximation. Numerical differentiation: divided differences, degree of precision. Numerical quadrature: interpolature quadrature, Richardson extrapolation, Romberg Integration, Gaussian quadrature, singular integrals, adaptive quadrature. ", Math 270A or consent of instructor.
MATH 271A-B-C,Numerical Optimization ,4 each,"Initial value problems (IVP) and boundary value problems (BVP) in ordinary differential equations. Linear methods for IVP: one and multistep methods, local truncation error, stability, convergence, global error accumulation. Runge-Kutta (RK) Methods for IVP: RK methods, predictor-corrector methods, stiff systems, error indicators, adaptive time-stepping. Finite difference, finite volume, collocation, spectral, and finite element methods for BVP; a priori and a posteriori error analysis, stability, convergence, adaptivity. ", Math 270B or consent of instructor.
MATH 272A,Numerical Partial Differential Equations I ,4,Formulation and analysis of algorithms for constrained optimization. Optimality conditions; linear and quadratic programming; interior methods; penalty and barrier function methods; sequential quadratic programming methods. , consent of instructor.
MATH 272B,Numerical Partial Differential Equations II ,4,"Survey of discretization techniques for elliptic partial differential equations, including finite difference, finite element and finite volume methods. Lax-Milgram Theorem and LBB stability. A priori error estimates. Mixed methods. Convection-diffusion equations. Systems of elliptic PDEs. ", graduate standing or consent of instructor.
MATH 272C,Numerical Partial Differential Equations III ,4,Survey of solution techniques for partial differential equations. Basic iterative methods. Preconditioned conjugate gradients. Multigrid methods. Hierarchical basis methods. Domain decomposition. Nonlinear PDEs. Sparse direct methods. , Math 272A or consent of instructor.
MATH 273A,Advanced Techniques in Computational Mathematics I ,4,Time dependent (parabolic and hyperbolic) PDEs. Method of lines. Stiff systems of ODEs. Space-time finite element methods. Adaptive meshing algorithms. A posteriori error estimates. , Math 272B or consent of instructor.
MATH 273B,Advanced Techniques in Computational Mathematics II ,4,"Models of physical systems, calculus of variations, principle of least action. Discretization techniques for variational problems, geometric integrators, advanced techniques in numerical discretization. Project-oriented; projects designed around problems of current interest in science, mathematics, and engineering. ", graduate standing or consent of instructor.
MATH 273C,Advanced Techniques in Computational Mathematics III ,4,"Nonlinear functional analysis for numerical treatment of nonlinear PDE. Numerical continuation methods, pseudo-arclength continuation, gradient flow techniques, and other advanced techniques in computational nonlinear PDE. Project-oriented; projects designed around problems of current interest in science, mathematics, and engineering. ", Math 273A or consent of instructor.
MATH 274,Numerical Methods for Physical Modeling ,4,"Adaptive numerical methods for capturing all scales in one model, multiscale and multiphysics modeling frameworks, and other advanced techniques in computational multiscale/multiphysics modeling. Project-oriented; projects designed around problems of current interest in science, mathematics, and engineering. ", Math 273B or consent of instructor.
MATH 275,Numerical Methods for Partial Differential Equations ,4,"(Conjoined with Math 174.) Floating point arithmetic, direct and iterative solution of linear equations, iterative solution of nonlinear equations, optimization, approximation theory, interpolation, quadrature, numerical methods for initial and boundary value problems in ordinary differential equations. Students may not receive credit for both Math 174 and PHYS 105, AMES 153 or 154. (Students may not receive credit for Math 174 if Math 170A, B, or C has already been taken.) Graduate students will complete an additional assignment/exam. "," Math 20D or 21D, and either Math 20F or Math 31AH, or consent of instructor."
MATH 276,Numerical Analysis in Multiscale Biology ,4,"(Conjoined with Math 175.) Mathematical background for working with partial differential equations. Survey of finite difference, finite element, and other numerical methods for the solution of elliptic, parabolic, and hyperbolic partial differential equations. (Formerly Math 172; students may not receive credit for Math 175/275 and Math 172.) Graduate students will do an extra paper, project, or presentation, per instructor. ", Math 174 or Math 274 or consent of instructor.
MATH 277A,Topics in Computational and Applied Mathematics ,4,"(Cross-listed with BENG 276/CHEM 276.) Introduces mathematical tools to simulate biological processes at multiple scales. Numerical methods for ordinary and partial differential equations (deterministic and stochastic), and methods for parallel computing and visualization. Hands-on use of computers emphasized, students will apply numerical methods in individual projects. ", consent of instructor.
MATH 278A,Seminar in Computational and Applied Mathematics ,1,"Introduction to varied topics in computational and applied mathematics. In recent years, topics have included: applied functional analysis and approximation theory; numerical treatment of nonlinear partial differential equations; and geometric numerical integration for differential equations. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 278B,Seminar in Mathematical Physics/PDE ,1,Various topics in computational and applied mathematics. ), graduate standing. Nongraduate students may enroll with consent of instructor. (S/U grade only.)
MATH 278C,Seminar in Optimization ,1,Various topics in mathematical physics and partial differential equations. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 279,Projects in Computational and Applied Mathematics ,4,Various topics in optimization and applications. May be taken for credit nine times. ), graduate standing. (S/U grade only.)
MATH 280A,Probability Theory I ,4,"(Conjoined with Math 179.) Mathematical models of physical systems arising in science and engineering, good models and well-posedness, numerical and other approximation techniques, solution algorithms for linear and nonlinear approximation problems, scientific visualizations, scientific software design and engineering, project-oriented. Graduate students will do an extra paper, project, or presentation per instructor. "," Math 174, or Math 274, or consent of instructor."
MATH 280B,Probability Theory II ,4,"This is the first course in a three-course sequence in probability theory. Topics covered in the sequence include the measure-theoretic foundations of probability theory, independence, the Law of Large Numbers, convergence in distribution, the Central Limit Theorem, conditional expectation, martingales, Markov processes, and Brownian motion. Recommended preparation: completion of real analysis equivalent to Math 140A-B strongly recommended. ", graduate standing.
MATH 280C,Probability Theory III ,4,"This is the second course in a three-course sequence in probability theory. Topics covered in the sequence include the measure-theoretic foundations of probability theory, independence, the Law of Large Numbers, convergence in distribution, the Central Limit Theorem, conditional expectation, martingales, Markov processes, and Brownian motion. ", Math 280A.
MATH 281A,Mathematical Statistics ,4,"This is the third course in a three-course sequence in probability theory. Topics covered in the sequence include the measure-theoretic foundations of probability theory, independence, the Law of Large Numbers, convergence in distribution, the Central Limit Theorem, conditional expectation, martingales, Markov processes, and Brownian motion. ", Math 280B.
MATH 281B,Mathematical Statistics ,4,"Statistical models, sufficiency, efficiency, optimal estimation, least squares and maximum likelihood, large sample theory. ", advanced calculus and basic probability theory or consent of instructor.
MATH 281C,Mathematical Statistics ,4,"Hypothesis testing and confidence intervals, one-sample and two-sample problems. Bayes theory, statistical decision theory, linear models and regression. ", advanced calculus and basic probability theory or consent of instructor.
MATH 282A,Applied Statistics I ,4,"Nonparametrics: tests, regression, density estimation, bootstrap and jackknife. Introduction to statistical computing using S plus. ", advanced calculus and basic probability theory or consent of instructor.
MATH 282B,Applied Statistics II ,4,"General theory of linear models with applications to regression analysis. Ordinary and generalized least squares estimators and their properties. Hypothesis testing, including analysis of variance, and confidence intervals. Completion of courses in linear algebra and basic statistics are recommended prior to enrollment. )", graduate standing or consent of instructor. (S/U grades permitted.)
MATH 283,Statistical Methods in Bioinformatics ,4,"Diagnostics, outlier detection, robust regression. Variable selection, ridge regression, the lasso. Generalized linear models, including logistic regression. Data analysis using the statistical software R. Students who have not taken Math 282A may enroll with consent of instructor. )", Math 282A or consent of instructor. (S/U grades permitted.)
MATH 284,Survival Analysis ,4,"This course will cover material related to the analysis of modern genomic data; sequence analysis, gene expression/functional genomics analysis, and gene mapping/applied population genetics. The course will focus on statistical modeling and inference issues and not on database mining techniques. "," one year of calculus, one statistics course or consent of instructor."
MATH 285,Stochastic Processes ,4,"Survival analysis is an important tool in many areas of applications including biomedicine, economics, engineering. It deals with the analysis of time to events data with censoring. This course discusses the concepts and theories associated with survival data and censoring, comparing survival distributions, proportional hazards regression, nonparametric tests, competing risk models, and frailty models. The emphasis is on semiparametric inference, and material is drawn from recent literature. ", Math 282A or consent of instructor.
MATH 286,Stochastic Differential Equations ,4,"Elements of stochastic processes, Markov chains, hidden Markov models, martingales, Brownian motion, Gaussian processes. "," Math 180A or equivalent, or consent of instructor."
MATH 287A,Time Series Analysis ,4,Review of continuous martingale theory. Stochastic integration for continuous semimartingales. Existence and uniqueness theory for stochastic differential equations. Strong Markov property. Selected applications. , Math 280A-B or consent of instructor.
MATH 287B,Multivariate Analysis ,4,Discussion of finite parameter schemes in the Gaussian and non-Gaussian context. Estimation for finite parameter schemes. Stationary processes and their spectral representation. Spectral estimation. Students who have not taken Math 282A may enroll with consent of instructor. , Math 282A or consent of instructor.
MATH 287C,Advanced Time Series Analysis ,4,"Bivariate and more general multivariate normal distribution. Study of tests based on Hotellings T2. Principal components, canonical correlations, and factor analysis will be discussed as well as some competing nonparametric methods, such as cluster analysis. Students who have not taken Math 282A may enroll with consent of instructor. ", Math 282A or consent of instructor.
MATH 287D,Statistical Learning ,4,"Nonparametric function (spectrum, density, regression) estimation from time series data. Nonlinear time series models (threshold AR, ARCH, GARCH, etc.). Nonparametric forms of ARMA and GARCH. Multivariate time series. Students who have not taken Math 287A may enroll with consent of instructor. ", Math 287A or consent of instructor.
MATH 288,Seminar in Probability and Statistics ,1,"Topics include regression methods: (penalized) linear regression and kernel smoothing; classification methods: logistic regression and support vector machines; model selection; and mathematical tools and concepts useful for theoretical results such as VC dimension, concentration of measure, and empirical processes. Students who have not taken Math 282A may enroll with consent of instructor. ", Math 282A or consent of instructor.
MATH 289A,Topics in Probability and Statistics ,4,Various topics in probability and statistics. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 289B,Further Topics in Probability and Statistics ,4,"Introduction to varied topics in probability and statistics. In recent years, topics have included Markov processes, martingale theory, stochastic processes, stationary and Gaussian processes, ergodic theory. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 289C,Exploratory Data Analysis and Inference ,4,"Continued development of a topic in probability and statistics. Topics include: Markov processes, martingale theory, stochastic processes, stationary and Gaussian processes, ergodic theory. May be taken for credit three times with consent of adviser as topics vary. ", Math 289A. Students who have not completed Math 289A may enroll with consent of instructor.
MATH 290A-B-C,Topology ,4 each,"An introduction to various quantitative methods and statistical techniques for analyzing datain particular big data. Quick review of probability continuing to topics of how to process, analyze, and visualize data using statistical language R. Further topics include basic inference, sampling, hypothesis testing, bootstrap methods, and regression and diagnostics. Offers conceptual explanation of techniques, along with opportunities to examine, implement, and practice them in real and simulated data. Recommended preparation: familiarity with linear algebra and mathematical statistics highly recommended. ", graduate standing.
MATH 291A,Topics in Topology ,4,"Point set topology, including separation axioms, compactness, connectedness. Algebraic topology, including the fundamental group, covering spaces, homology and cohomology. Homotopy or applications to manifolds as time permits. ", Math 100A-B-C and Math 140A-B-C.
MATH 291B,Further Topics in Topology ,4,"Introduction to varied topics in topology. In recent years topics have included: generalized cohomology theory, spectral sequences, K-theory, homotophy theory. May be taken for credit six times with consent of adviser as topics vary. ", graduate standing. Nongraduate students may enroll with consent of instructor.
MATH 292,Seminar in Topology ,1,"Continued development of a topic in topology. Topics include generalized cohomology theory, spectral sequences, K-theory, homotophy theory. May be taken for credit three times with consent of adviser as topics vary. ", Math 291A. Students who have not completed Math 291A may enroll with consent of instructor.
MATH 294,The Mathematics of Finance ,4,Various topics in topology. May be taken for credit nine times. ), graduate standing or consent of instructor. (S/U grade only.)
MATH 295,Special Topics in Mathematics ,1 to 4,"Introduction to the mathematics of financial models. Hedging, pricing by arbitrage. Discrete and continuous stochastic models. Martingales. Brownian motion, stochastic calculus. Black-Scholes model, adaptations to dividend paying equities, currencies and coupon-paying bonds, interest rate market, foreign exchange models. ", Math 180A (or equivalent probability course) or consent of instructor.
MATH 296,Graduate Student Colloquium ,1,A variety of topics and current research results in mathematics will be presented by staff members and students under faculty direction.,A variety of topics and current research results in mathematics will be presented by staff members and students under faculty direction.
MATH 297,Mathematics Graduate Research Internship ,2 to 4,A variety of advanced topics and current research in mathematics will be presented by department faculty. (S/U grades only.) May be taken for credit six times. , graduate standing.
MATH 299,Reading and Research ,1 to 12,"An enrichment program that provides work experience with public/private sector employers and researchers. Under supervision of a faculty adviser, students provide mathematical consultation services. ", consent of instructor.
MATH 500,Apprentice Teaching ,1 to 4,Independent study and research for the doctoral dissertation. One to three credits will be given for independent study (reading) and one to nine for research. ), consent of instructor. (S/U grades permitted.)
